Row Type,Campaign,Ad group,Keyword,Match type
Keyword,NuuMee - Search - Testing,Creative,ai video creator,Phrase
Keyword,NuuMee - Search - Testing,Creative,ai video maker,Phrase
Keyword,NuuMee - Search - Testing,Creative,ai video generator,Phrase
Keyword,NuuMee - Search - Testing,Creative,create video from photo,Phrase
Keyword,NuuMee - Search - Testing,Creative,turn photo into video,Phrase
Keyword,NuuMee - Search - Testing,Creative,stylized ai video,Phrase
Keyword,NuuMee - Search - Testing,Creative,ai avatar video,Phrase
Keyword,NuuMee - Search - Testing,Fun,funny video maker,Phrase
Keyword,NuuMee - Search - Testing,Fun,meme video maker,Phrase
Keyword,NuuMee - Search - Testing,Fun,comedy video creator,Phrase
Keyword,NuuMee - Search - Testing,Fun,parody video creator,Phrase
Keyword,NuuMee - Search - Testing,Fun,fun ai video,Phrase
Keyword,NuuMee - Search - Testing,Shorts,youtube shorts maker,Phrase
Keyword,NuuMee - Search - Testing,Shorts,short form video ai,Phrase
Keyword,NuuMee - Search - Testing,Shorts,tiktok video maker,Phrase
Keyword,NuuMee - Search - Testing,Shorts,shorts video generator,Phrase
Keyword,NuuMee - Search - Testing,Shorts,reels video maker ai,Phrase
Keyword,NuuMee - Search - Testing,Wow,cinematic video maker,Phrase
Keyword,NuuMee - Search - Testing,Wow,visual storytelling ai,Phrase
Keyword,NuuMee - Search - Testing,Wow,artistic video maker,Phrase
Keyword,NuuMee - Search - Testing,Wow,creative video effects,Phrase
Keyword,NuuMee - Search - Testing,Wow,stylized cinematic video,Phrase
Keyword,NuuMee - Search - Testing,Fast,video without filming,Phrase
Keyword,NuuMee - Search - Testing,Fast,easy video maker,Phrase
Keyword,NuuMee - Search - Testing,Fast,quick video creator,Phrase
Keyword,NuuMee - Search - Testing,Fast,no camera video,Phrase
Keyword,NuuMee - Search - Testing,Fast,instant video creator,Phrase
Keyword,NuuMee - Search - Testing,Personal,video message maker,Phrase
Keyword,NuuMee - Search - Testing,Personal,personalized video creator,Phrase
Keyword,NuuMee - Search - Testing,Personal,birthday video maker,Phrase
Keyword,NuuMee - Search - Testing,Personal,custom video greeting,Phrase
Keyword,NuuMee - Search - Testing,Personal,personal video message,Phrase
