Campaign,Negative Keyword,Match Type
NuuMee - Search - Testing,deep fake,Phrase
NuuMee - Search - Testing,deepfake,Phrase
NuuMee - Search - Testing,deepfake app,Phrase
NuuMee - Search - Testing,fake person,Phrase
NuuMee - Search - Testing,impersonate,Phrase
NuuMee - Search - Testing,face clone,Phrase
NuuMee - Search - Testing,clone voice,Phrase
NuuMee - Search - Testing,swap face,Phrase
NuuMee - Search - Testing,celebrity ai,Phrase
NuuMee - Search - Testing,ai celebrity,Phrase
NuuMee - Search - Testing,tutorial,Phrase
NuuMee - Search - Testing,how to,Phrase
NuuMee - Search - Testing,step by step,Phrase
NuuMee - Search - Testing,open source,Phrase
NuuMee - Search - Testing,github,Phrase
NuuMee - Search - Testing,python,Phrase
NuuMee - Search - Testing,free,Exact
NuuMee - Search - Testing,free app,Phrase
NuuMee - Search - Testing,download,Phrase
NuuMee - Search - Testing,apk,Phrase
NuuMee - Search - Testing,cracked,Phrase
NuuMee - Search - Testing,mod,Phrase
NuuMee - Search - Testing,torrent,Phrase
