Campaign,Ad Group,Keyword,Criterion Type,Match Type
NuuMee - Search - Testing,Creative,ai video creator,Keyword,Phrase
NuuMee - Search - Testing,Creative,ai video maker,Keyword,Phrase
NuuMee - Search - Testing,Creative,ai video generator,Keyword,Phrase
NuuMee - Search - Testing,Creative,create video from photo,Keyword,Phrase
NuuMee - Search - Testing,Creative,turn photo into video,Keyword,Phrase
NuuMee - Search - Testing,Creative,stylized ai video,Keyword,Phrase
NuuMee - Search - Testing,Creative,ai avatar video,Keyword,Phrase
NuuMee - Search - Testing,Fun,funny video maker,Keyword,Phrase
NuuMee - Search - Testing,Fun,meme video maker,Keyword,Phrase
NuuMee - Search - Testing,Fun,comedy video creator,Keyword,Phrase
NuuMee - Search - Testing,Fun,parody video creator,Keyword,Phrase
NuuMee - Search - Testing,Fun,fun ai video,Keyword,Phrase
NuuMee - Search - Testing,Shorts,youtube shorts maker,Keyword,Phrase
NuuMee - Search - Testing,Shorts,short form video ai,Keyword,Phrase
NuuMee - Search - Testing,Shorts,tiktok video maker,Keyword,Phrase
NuuMee - Search - Testing,Shorts,shorts video generator,Keyword,Phrase
NuuMee - Search - Testing,Shorts,reels video maker ai,Keyword,Phrase
NuuMee - Search - Testing,Wow,cinematic video maker,Keyword,Phrase
NuuMee - Search - Testing,Wow,visual storytelling ai,Keyword,Phrase
NuuMee - Search - Testing,Wow,artistic video maker,Keyword,Phrase
NuuMee - Search - Testing,Wow,creative video effects,Keyword,Phrase
NuuMee - Search - Testing,Wow,stylized cinematic video,Keyword,Phrase
NuuMee - Search - Testing,Fast,video without filming,Keyword,Phrase
NuuMee - Search - Testing,Fast,easy video maker,Keyword,Phrase
NuuMee - Search - Testing,Fast,quick video creator,Keyword,Phrase
NuuMee - Search - Testing,Fast,no camera video,Keyword,Phrase
NuuMee - Search - Testing,Fast,instant video creator,Keyword,Phrase
NuuMee - Search - Testing,Personal,video message maker,Keyword,Phrase
NuuMee - Search - Testing,Personal,personalized video creator,Keyword,Phrase
NuuMee - Search - Testing,Personal,birthday video maker,Keyword,Phrase
NuuMee - Search - Testing,Personal,custom video greeting,Keyword,Phrase
NuuMee - Search - Testing,Personal,personal video message,Keyword,Phrase
